,Aguascalientes,Baja California,Baja California Sur,Campeche,Chiapas,Chihuahua,Ciudad de México,Coahuila,Colima,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Estado de México,Michoacán,Morelos,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatán,Zacatecas
Aguascalientes,0,5032.4809949164855,2446.3313167859737,5239.472170436075,4551.294780492444,2624.566751910641,1803.6699447556798,862.9123854480063,1807.2460214579658,815.7615088875057,663.1143245322821,2488.896716377909,1683.5833070512156,934.071875367431,1482.1665734688936,1153.998910588927,1953.4293876439465,1915.3217680776013,1256.0225337171905,3120.919266867241,2169.075234896428,997.2268556558427,5274.525861171629,278.983256302521,1362.7918199502024,2385.4315629214652,4223.21867491441,1318.42579736833,2168.64875030259,3146.8378453850673,5508.257150983851,240.43553031088976
Baja California,4858.51219844728,0,2097.367497492824,6069.43632888958,5531.258938945948,2158.0021810699586,8581.305819068368,4401.200232475707,7142.990857454092,4671.685278469413,7493.848145122246,9364.49755524432,8513.91612606771,6442.064752740602,8193.720502559048,7490.1226491337275,8829.014369747898,5465.674173496559,3154.3207263028667,9951.252085883736,8999.40891525746,7566.507763253449,6392.474162862676,4925.1287385448,3331.985089134419,1341.9181666493757,5393.183694712452,3613.703887678528,8998.982430663624,4667.145241380504,6338.205452674897,4574.734031538541
Baja California Sur,4112.432346284193,2100.7583767334095,0,10143.324299114707,9455.146909171075,2358.7997262855756,6654.825128730505,5122.517750285299,5216.510167116229,3312.0619754815507,5567.3850342359165,7438.017726250995,6587.436297074385,4515.584923747277,6267.240673565722,5563.642820140401,6902.533679410036,3539.1943445032334,5463.3146629145485,8024.7889749974065,7072.928224919598,5640.027934260123,10178.378851194799,4179.049747726251,1405.5052601410935,2142.3511947989073,9127.071664937579,5941.446306324999,7072.50174032576,8050.690835408237,10412.110141007019,3828.655040719991
Campeche,5292.119060760107,8296.417862503025,4871.119419718504,0,1625.4319655393024,7202.839498910675,3489.975370024553,5339.069891067538,6463.066601220735,5394.035117232078,4667.598781771968,4075.1085238786873,3564.0111040218558,5594.5890756302515,3908.1500424490782,4725.694756631047,3593.9796437216864,6575.838968340422,5067.245441608742,3324.3512028391606,2996.3454089290035,4167.587820313311,704.7993094027734,4528.435735207663,3787.5799228827336,4810.219665853996,949.0150125358784,4738.162818497769,3190.6875236020333,2498.45326425632,283.7452584984611,4817.751002610921
Chiapas,4611.240789155168,7615.53872955355,4340.240286769029,1631.4557365909327,0,6521.977084068195,2809.0962370750767,4658.207476225058,5782.187468271259,4713.155984282602,3986.7196488224918,3394.2461090362067,2883.132832416917,4913.726660787772,3227.270909499602,4044.815623681571,2913.1005107722103,5894.976553497942,4386.366308659266,1144.501904588996,2315.4662759795274,3486.72540547083,1666.5094273264863,3847.5733203651826,3256.700789933257,4279.34053290452,615.203102413805,4057.2836855482933,2509.808390652557,1817.5741313068438,1900.2415784832451,4136.871869661445
Chihuahua,2633.7822985614,2340.2144145312445,2324.702029861327,7952.920889442196,7264.743499498565,0,4313.978663761801,2176.45361448283,4520.694740464087,999.3472537780544,3376.563043538403,5033.965435384031,4397.032026057336,3647.520594373552,4195.615292475015,3867.447629595048,4498.498106650068,3415.8387516858593,2517.2681065636134,5834.367985873361,4882.523953902549,3029.346701075492,7987.97458017775,2700.399700003458,1347.9409343119964,1424.5571776117854,6936.667393920531,2995.3997499740635,4882.098330653249,5079.556011861535,8221.705869989972,2349.988274890203
Ciudad de México,1893.06702951551,4042.8381394162607,3012.4131905972263,3524.110334318913,2835.932944375281,3803.7874676660786,0,2087.1979689283116,3068.360372099457,1994.9822246429435,1268.5458891828337,858.3203023308089,242.28295397171212,2199.8995646159697,441.98349033440536,1330.9885275097695,322.83625548985026,3181.1494573261402,2370.4870745582184,1405.5574307500779,453.7142601238026,768.5349277241761,3559.14730694747,1129.3828426185287,1928.8736937614551,2951.5134367327178,2507.8577001417852,2046.4444682193866,481.4069798042674,1442.4146565169276,3792.8794581042293,1418.6981100217863
Coahuila,917.1714026351281,4578.449124131134,2555.4367515648237,5303.692175969153,4615.514786025521,2170.534019780752,1319.3529830203684,0,2804.101423989349,1836.8334197876682,972.3467366082235,1723.7297546425975,1329.4063453159042,1930.926416554276,1297.5485082304526,1188.5657104817235,1465.2624259086351,4254.321396151053,277.1140445066916,1996.7590232389252,1491.8982731611163,984.491550817858,5338.730009942248,693.5495225127088,1471.897254729052,2494.5369977003147,4287.439541792025,755.2456879171422,1448.4726499118165,2839.4010884600752,5572.478017861466,640.8409358681744
Colima,1824.5372855932496,3434.768876439465,2404.3615070719643,6519.363427049832,5831.1860371062,4530.532236919459,3030.864256665629,2768.861152349829,0,2721.710275789328,1949.3553701974618,3814.056854186119,2963.4745636649723,713.6487779679774,2643.2789401563095,1939.6810867309887,3278.57280734516,1704.0969124563405,3161.9880187260087,4400.810523480997,3448.967352854722,2016.0662008507106,6554.417117785386,824.1459969049347,1320.8211488916554,2343.4608918629183,5503.110792872705,3002.588537970744,3448.5408682608845,4426.729963343362,6788.149268942145,2146.384297212712
Durango,824.0804464501849,3315.8420059999307,1820.3349004046063,6143.235755437978,5455.058365494346,987.6346037797836,2671.2168116505864,1842.3988750561953,4124.552085710828,0,1566.8611914271883,3373.110301379811,2587.3468920531177,1837.8354603693328,2385.9134403638,2057.7633569353666,2837.6271158833906,2447.236263097832,2183.2133671369784,4024.6828518691427,3072.8396812428673,1219.6615670712729,6178.272728066535,890.6978478922433,736.7954035688349,1759.4351465400973,5126.98312126085,2661.3450105474285,3072.41319664903,4050.6022917315076,6412.004879223294,540.303140885984
